"crimes","prbarr","prbpris","polpc","density","area","taxpc","region","pctmin","pctymale","wcon","wsta","wser","wtrd","wfir","name"
436,0.389247,0.659091,0.0017286,69.23077,172.473,28.29884,"other",42.6421,0.0780852,181.7081,243.2,185.9168,218.1464,226.2443,"Chowan County"
2867,0.21688,0.425087,0.0011571,179.0598,464.252,21.06336,"central",21.7499,0.0877566,192.8289,246.38,214.2704,192.9485,231.8393,"Cleveland County"
1646,0.302526,0.458564,0.0019077,55.01066,937.293,22.28144,"other",33.4032,0.0858434,208.6357,198.55,178.3689,165.2859,246.418,"Columbus County"
2610,0.270776,0.432558,0.0011919,102.4251,708.958,21.0344,"other",29.9072,0.1394802,234.0786,195.81,231.32,173.2183,237.4169,"Craven County"
15554,0.201316,0.481437,0.0014254,377.93,652.315,24.87787,"other",37.7792,0.1624084,212.445,262.07,197.2247,171.8197,236.3337,"Cumberland County"
227,0.252252,0.176471,0.0008859,44.14063,261.852,24.30766,"other",17.9096,0.091046,189.9335,248.56,160.2564,162.9726,200.3205,"Currituck County"
550,0.143426,0.367647,0.0032465,36.06138,383.42,48.84256,"other",6.49622,0.0835457,209.444,256.04,145.2081,139.9271,177.8568,"Dare County"
4246,0.205165,0.41342,0.0013775,208.7591,552.675,19.2422,"central",10.9957,0.085526,228.1871,206.78,204.6954,179.6187,230.1752,"Davidson County"
462,0.257642,0.56338,0.0010442,95.13109,264.105,22.16452,"central",10.8704,0.0794902,173.772,249.16,195.178,196.5027,213.6752,"Davie County"
1009,0.1917,0.39548,0.0012501,49.81685,816.219,22.06186,"other",34.9995,0.0861588,176.4291,233.23,176.2305,165.4156,226.7779,"Duplin County"
12039,0.157454,0.388679,0.0022306,517.7852,285.975,40.77384,"central",38.223,0.1023255,240.0165,280.27,267.1611,184.6374,261.1852,"Durham County"
3062,0.130332,0.480198,0.0010269,111.8577,505.336,20.51209,"other",51.6932,0.0905425,254.1097,239.86,162.6926,170.8154,229.0813,"Edgecombe County"
15168,0.185028,0.529988,0.0017366,600.2427,408.148,29.3821,"central",25.6546,0.0888331,152.8273,267.43,161.0306,151.4687,236.6864,"Forsyth County"
458,0.43018,0.475,0.0010903,61.53846,491.682,18.40199,"central",42.3224,0.095072,253.0954,265.97,251.9837,199.5898,323.4463,"Franklin County"
9505,0.200021,0.42487,0.0017899,461.6247,356.027,27.81321,"central",13.315,0.0851048,220.2218,251.93,226.5881,191.1953,238.6206,"Gaston County"
1104,0.214431,0.421488,0.0022208,64.60674,531.57,17.48343,"central",45.4513,0.0938804,182.6386,256.49,162.422,168.3082,211.205,"Granville County"
302,0.332237,0.42623,0.0012353,60.52632,265.928,22.11559,"other",45.4675,0.0968263,179.9924,248.27,145.8886,126.8697,183.1502,"Greene County"
20100,0.25921,0.526442,0.002173,490.4762,645.704,22.73241,"central",26.3941,0.0920546,281.7927,290.9,245.0806,240.0835,285.6708,"Guilford County"
1740,0.406452,0.42671,0.0015685,76.38121,724.086,30.86219,"other",50.5625,0.0883066,197.4132,250.33,160.014,161.5263,218.7627,"Halifax County"
2295,0.229671,0.44186,0.0013922,100.6656,594.987,20.25876,"other",25.6287,0.1138525,166.9972,271.77,181.7673,166.0666,209.3895,"Harnett County"
1168,0.271804,0.385965,0.0014799,84.5045,553.692,25.04969,"west",2.69921,0.0808827,208.6178,217.66,175.5958,158.344,226.5861,"Haywood County"
1616,0.341525,0.40566,0.0009298,161.4973,373.068,18.84713,"west",4.31205,0.0715268,221.7742,207.44,194.5667,172.315,211.8644,"Henderson County"
761,0.341398,0.491379,0.0014543,65.73034,353.06,22.85382,"other",56.8085,0.1008849,201.1061,228.33,182.5293,159.076,219.4115,"Hertford County"
779,0.332464,0.367232,0.0013549,53.70844,390.744,18.71499,"other",58.0827,0.1034976,143.2079,269.52,185.3568,145.373,179.4872,"Hoke County"
3492,0.292683,0.352403,0.0015449,145.8188,573.833,16.17589,"central",18.4012,0.0838441,231.2561,240.54,182.0798,185.3309,243.1907,"Iredell County"
491,0.117886,0.210526,0.001442,53.56416,490.755,34.26277,"west",14.2846,0.1398492,189.9335,284.27,186.9135,137.4919,215.2698,"Jackson County"
2185,0.173853,0.476471,0.0012205,90.18868,791.299,21.78304,"other",20.9479,0.0823628,164.6671,240.57,173.8672,163.7385,203.5771,"Johnston County"
2295,0.255328,0.465649,0.0018435,143.6293,254.959,49.78291,"central",23.5498,0.0855046,230.4304,182.26,207.4356,193.1624,225.8159,"Lee County"
2602,0.231735,0.565,0.0015707,149.5025,400.591,22.94168,"other",39.0478,0.0864914,211.3024,234.23,202.6203,166.0947,248.317,"Lenoir County"
641,0.307573,0.414141,0.001017,143.9597,297.938,19.04224,"central",9.68564,0.0841339,201.8044,267.91,190.5752,177.7162,227.519,"Lincoln County"
835,0.321212,0.414414,0.0008694,81.9222,440.608,18.53749,"west",5.52725,0.0762992,183.5143,255.67,173.906,159.9843,231.1896,"McDowell County"
257,0.417671,0.52381,0.0017067,41.0058,515.558,22.30019,"west",2.39865,0.0964656,187.6173,238.64,223.3251,130.4413,173.6111,"Macon County"
92,0.3125,0.357143,0.0087044,38.13747,449.57,22.99769,"west",1.28365,0.0856251,168.3502,229.03,151.2532,161.8622,225.4642,"Madison County"
336,0.609091,0.435115,0.0005024,57.04989,461.217,29.25831,"other",45.4255,0.0809707,182.8277,238.97,170.7996,160.1624,202.4292,"Martin County"
33423,0.172961,0.374204,0.0018753,781.4394,523.842,36.34335,"central",28.546,0.0908055,296.2678,253.12,260.9232,271.7476,321.9396,"Mecklenburg County"
852,0.430933,0.356436,0.0015457,46.32653,491.76,22.69097,"central",25.9602,0.0877541,242.6595,242.39,182.9648,158.8934,218.7932,"Montgomery County"
1684,0.311899,0.350148,0.0017074,73.03852,697.843,21.81275,"central",22.5819,0.0844627,194.3079,250.98,195.3464,157.9434,245.3926,"Moore County"
3364,0.582504,0.522634,0.0007317,125.7407,540.407,19.22906,"other",34.2799,0.0851622,219.622,250.21,212.9582,193.1002,328.2547,"Nash County"
9166,0.216807,0.423913,0.0020641,570.2703,191.534,27.90159,"other",23.0441,0.0898363,236.4805,277.72,206.7997,177.72,237.6693,"New Hanover County"
484,0.542373,0.449438,0.0012496,41.26394,536.589,23.54628,"other",61.9421,0.0978319,150.0938,246.49,150.7114,162.3558,168.691,"Northampton County"
4758,0.229851,0.319481,0.0012256,149.1481,762.744,18.98292,"other",26.3814,0.2743584,209.0301,220.77,174.007,159.6113,199.095,"Onslow County"
4401,0.134516,0.383673,0.002192,193.75,397.958,21.4534,"central",19.5263,0.1444227,214.6487,329.12,211.8692,138.5328,261.3052,"Orange County"
131,0.253731,0.48,0.00057,30.49853,336.537,27.0492,"other",33.0448,0.0798046,196.6783,217.52,186.7065,120.9745,169.6833,"Pamlico County"
789,0.628767,0.40411,0.001639,125,226.88,18.27306,"other",38.0613,0.1096039,204.2206,251.8,184.4903,164.6542,229.6792,"Pasquotank County"
647,0.233025,0.421053,0.0010216,25.82857,869.795,21.47009,"other",39.8515,0.0863153,156.6952,253.03,145.496,173.8842,174.8252,"Pender County"
232,0.581897,0.423077,0.0009336,39.02439,247.089,16.77721,"other",38.6359,0.0820288,169.6833,255.8,104.8951,166.7408,213.6752,"Perquimans County"
823,0.210651,0.349515,0.0012481,73.61809,392.322,41.40154,"central",32.9516,0.0871926,204.5827,209.01,166.9899,152.5387,218.5315,"Person County"
4700,0.186197,0.453488,0.0016307,139.726,651.975,23.73709,"other",35.6411,0.1231098,201.4795,327.38,234.4143,163.7208,245.5796,"Pitt County"
285,0.0588235,0.534884,0.0073952,57.14286,237.789,16.09222,"west",10.0046,0.0695569,199.8002,226.14,145.9186,137.0364,195.5671,"Polk County"
2221,0.260579,0.403448,0.000991,117.3638,782.517,14.30256,"central",6.97606,0.0840227,236.2321,212.47,208.1289,169.7852,241.3273,"Randolph County"
1685,0.276843,0.436567,0.0012766,95.38784,473.821,23.01333,"central",28.5284,0.0851878,190.761,245.73,175.4844,155.9667,207.2489,"Richmond County"
4541,0.275405,0.414815,0.0012708,108.3246,949.221,31.99544,"other",61.4497,0.0915176,195.3125,270.96,192.1808,173.0732,233.3743,"Robeson County"
3019,0.26057,0.506452,0.0018656,148.1547,565.551,24.17161,"central",21.6036,0.0838999,225.9353,230.24,181.9221,157.9952,225.5639,"Rockingham County"
3476,0.280326,0.547904,0.0016769,193.2563,511.374,15.75846,"central",16.9913,0.0858354,252.2513,253.21,209.5462,188.6161,223.2143,"Rowan County"
1210,0.350703,0.482353,0.0013818,96.30282,564.151,18.15993,"west",13.0366,0.0794516,193.7428,181.18,191.7503,163.0195,244.6317,"Rutherford County"
1235,0.23431,0.44186,0.0013496,52.69271,944.74,21.02991,"other",36.3495,0.083051,149.7874,238.59,205.6533,170.2091,204.4216,"Sampson County"
1560,0.359558,0.365639,0.0017694,102.5078,318.845,23.65049,"other",42.4256,0.0918021,201.333,248.06,201.4652,172.4472,244.0828,"Scotland County"
1427,0.403047,0.438596,0.0015282,122.7273,395.086,21.68331,"central",12.5791,0.0853847,231.6624,243.45,205.1628,171.2007,225.949,"Stanly County"
485,0.295688,0.241935,0.0008042,74.55752,448.857,26.42513,"central",7.67092,0.0824758,203.7368,230.84,170.068,153.7301,213.6752,"Stokes County"
1121,0.153444,0.517949,0.0013737,110.9462,532.166,19.58383,"west",5.64349,0.0834044,267.1756,219.13,195.906,171.0741,235.5506,"Surry County"
140,0.151515,0.35,0.0054956,19.77186,527.996,23.76874,"west",25.3914,0.0848613,144.7477,268.78,162.3758,151.8219,183.1502,"Swain County"
420,0.306954,0.44,0.0015162,63.22751,378.528,25.38036,"west",6.03408,0.0951802,190.4037,239.51,181.1893,139.646,208.8409,"Transylvania County"
2030,0.444444,0.416667,0.0014945,113.302,631.52,23.32127,"central",17.8858,0.0930994,258.1836,270.09,205.145,195.0484,238.1908,"Union County"
2123,0.220038,0.5,0.0015673,148.5944,253.517,20.02369,"central",44.6283,0.0848776,156.1663,211.8,171.9226,206.0082,207.3206,"Vance County"
18184,0.178908,0.434783,0.0018376,361.7096,835.219,29.11141,"central",23.4436,0.1089895,248.035,306.85,214.2128,230.1352,278.0956,"Wake County"
175,0.7,0.340909,0.011828,37.93911,428.456,47.8802,"central",64.3482,0.085924,146.5201,241.9,166.0839,137.6606,206.044,"Warren County"
522,0.26556,0.333333,0.0011939,44.27711,348.135,21.43002,"other",44.2132,0.0895135,170.3992,244.14,143.5132,162.057,213.6752,"Washington County"
1021,0.181639,0.285714,0.0021745,103.8217,312.556,21.71702,"west",1.9832,0.1581173,187.9494,304.53,171.5151,137.411,210.1224,"Watauga County"
3617,0.270559,0.516717,0.0011395,176.1733,553.087,18.57096,"other",34.4283,0.1041378,220.3025,260.01,187.213,178.7849,228.7606,"Wayne County"
1139,0.390009,0.573684,0.000926,78.59043,754.278,17.44954,"west",5.93109,0.0860937,222.9224,244.42,208.0373,206.0276,246.3821,"Wilkes County"
3940,0.223671,0.45,0.0017569,169.5187,368.174,24.62795,"other",37.4311,0.0894729,222.2222,237.91,243.7925,192.8789,293.2288,"Wilson County"
513,0.158915,0.356322,0.0008308,85.71429,334.829,16.64038,"west",5.46081,0.0806272,183.1502,260.86,156.9114,151.3533,228.9377,"Yadkin County"
